EntrezID	iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03	EMP_basal_01	EMP_basal_02	EMP_basal_03	EMP_4day_01	EMP_4day_02	EMP_4day_03	EMP_8day_01	EMP_8day_02	EMP_8day_03	EMP_11day_01	EMP_11day_02	EMP_11day_03	EMP_14day_01	EMP_14day_02	EMP_14day_03	EMP_17day_01	EMP_17day_02	EMP_17day_03
100131754	31.14854341	90.24371488	96.62446724	49.99209973	89.64778704	90.64750774	66.86384176	91.58765954	97.80028781	49.64178886	98.71843005	89.16554685	111.5459488	119.9761241	126.8338364	114.5237026	96.08433605	149.7759727	77.91617881	140.1568318	133.9768293	21.8172214	106.843128	85.92313678	51.35213194	107.7826381	110.0172724	82.70168783	122.5479039	117.4932578	72.04615295	137.6870119	122.3567853	56.08006404	116.1538844	110.3167336
9636	58.91016854	296.5236122	193.4386422	90.59174437	48.34380663	180.3210591	49.75913805	511.0702868	455.0472164	24.70958997	216.7525928	148.9589136	14.37987963	26.18263481	188.1631871	8.765404994	105.5731626	63.87504719	63.99476613	695.0415782	597.7836329	77.05915524	81.90531409	93.37656641	21.33357581	68.9555413	52.67846703	12.57491472	165.5149936	42.14091515	13.2637269	123.0441958	63.86709819	62.87153463	35.51101921	43.91641227
375790	486.1615794	769.9440555	685.03459	605.5861172	430.8043656	462.6988288	419.7075123	521.9381937	583.5882022	431.9726066	381.1098149	352.2330491	314.8436802	233.1027825	505.6427234	376.4208967	328.4409794	259.2858866	371.1404888	486.6679363	595.1943879	563.7229684	409.4103102	430.7486052	521.9731459	514.6030497	429.8329893	202.4627804	342.0992528	450.7041371	309.8888922	392.6279044	398.1766109	359.947941	171.6105201	196.8555202
51150	93.11249072	158.883994	147.7190808	101.8778396	137.936595	117.2226021	85.79394863	132.6441966	127.8740279	106.128802	136.4824223	132.8158701	86.91967725	117.324718	124.6334274	81.10047612	109.8790167	113.2267809	71.35635085	72.82349566	96.13401826	83.13637568	90.50856922	90.6337043	79.97176507	99.1415928	94.78795253	76.31442955	101.5228493	95.95282724	81.24032728	101.5532186	100.681682	87.81842163	92.84488943	104.0082987
1855	80.89737565	101.6139442	96.62446724	100.8174011	145.8563995	61.08097605	83.56290032	119.5005314	101.2563426	113.8644619	116.2413851	151.5231515	65.7282757	157.371997	135.8611558	148.1926882	147.6748468	129.6085279	98.32453247	120.3417732	140.2839645	107.9314351	113.0049188	99.04117292	92.27062982	101.7339064	96.70202005	135.3965686	147.7648697	118.3548751	125.7039572	129.7253286	136.91716	165.2142894	151.195595	159.0049107
54998	33.31395017	67.80247279	68.99037549	36.2063995	69.4632853	88.35175351	37.58978364	66.92587089	63.42163735	40.40351873	67.89422196	67.66091496	26.95499703	71.75367642	44.62880989	30.88371666	63.6309545	46.80499148	55.17544187	79.51265558	82.19192997	44.72834247	65.68701555	116.4523845	43.8329208	68.66750646	81.30625954	37.39207446	66.93958192	82.79358236	42.05204325	72.2675865	76.19377906	49.96101629	61.16655732	72.70875622
81669	84.39534042	157.148538	160.7456778	91.27345482	100.262525	89.53441478	80.92620686	73.19581716	97.01206478	74.79659667	96.05817945	90.21455329	125.8093922	219.735277	160.3477594	147.2915718	131.1690729	201.3991251	133.3102816	148.9915713	141.0142643	79.67236003	121.7244341	72.32808113	56.36493938	110.3749517	69.57219343	122.2893823	125.1023498	96.97110214	71.14180793	110.0159868	137.6617246	70.06645891	174.50459	172.2687995
29101	57.96627329	114.8991595	114.2040496	63.55056315	125.2869073	110.8918859	56.38467546	106.1710901	100.2255894	68.73050363	109.4750955	130.0185196	59.38249886	146.6006599	98.45420133	53.4116267	102.7025932	128.7137266	71.21057689	126.6523014	114.1259512	73.16973415	114.6325617	127.7815976	65.10820815	95.62756772	122.3338808	76.51403138	123.9233747	120.9397267	77.09541262	117.3652329	118.3030446	88.69257131	134.3787026	143.0720687
728642	76.12237613	83.90032378	80.18313119	71.27661492	81.50798798	84.24722323	80.45295419	76.07534803	67.30211994	74.07311768	73.79303852	81.82250182	87.38542234	147.9263629	92.07865706	99.94200087	115.6998935	130.4344983	71.93944667	71.81381115	88.56545605	70.31344054	80.97523245	90.09705737	77.17391906	85.31592036	98.28320626	81.10487326	78.33634048	85.53509171	71.44325627	84.01524501	83.06031941	79.48037853	112.5558516	105.5449687
2782	509.4813445	474.6173095	502.9784113	496.6639363	532.1668635	345.0588169	425.0485067	481.0674328	463.2326093	532.2022723	432.3485548	516.6939467	322.9942193	449.6342772	406.7371561	408.0418904	482.4151312	408.3735506	454.30453	420.1549689	439.1757809	460.9571707	453.4147976	382.3907537	443.4003039	404.1128841	408.6118059	443.8479159	488.8816433	419.2942728	488.2709466	476.3090928	482.4778713	510.1672013	483.0750102	524.4897487
127262	38.19999619	65.88748679	65.8285801	56.12749379	82.27796897	55.23723802	54.0184121	75.10002306	72.75904859	70.95659282	84.54970401	100.4715051	75.15961375	111.7457178	79.77893449	68.64868584	74.95375592	105.2424	47.37653529	52.94533177	56.56504389	54.02648975	66.50083699	37.68454021	46.80563218	55.36029674	42.27592615	70.52597675	81.74226833	56.55342144	78.30120597	72.71299535	66.92808606	82.03558529	86.58744111	87.99457928
57470	48.91598349	72.64978108	73.22718132	57.18793227	74.57815904	54.12414507	46.51397688	49.41646539	51.71955704	58.5461456	53.08934903	86.48475263	66.65976588	100.5324797	65.50448582	46.36653483	58.52772005	95.53724731	58.16380794	59.38207055	56.83060748	58.15899966	64.64067371	59.38892729	44.35751692	49.13874414	41.61016353	58.61640143	69.10103613	51.85369113	54.86359764	61.02101294	60.47519272	62.13186951	86.74387732	86.13439975
6146	133.4223704	171.0920297	179.9061579	133.9182308	191.450274	226.6535535	133.660076	145.6949736	161.5250879	108.2992389	153.8897143	114.8079263	73.87881476	91.36303372	87.28289368	90.60315817	124.3913396	69.24385504	183.3107481	178.7141592	153.6285347	142.1461862	218.278534	185.7990938	158.5446071	203.9286685	210.5474275	155.0906149	174.9467938	206.2398319	152.6835835	173.3197202	169.0161679	123.9947699	159.7213683	162.0782508
23463	81.45260816	82.0451811	81.57432116	81.50227169	82.88295403	143.3107183	95.19139454	94.18852614	82.33898999	83.70095341	91.37382512	69.35098089	63.34133212	65.34611178	56.42074575	83.72190565	89.14712673	57.06079108	94.97173151	88.78913206	94.14229136	103.4950642	88.06710493	173.813979	127.4768588	133.0144903	141.8074373	96.67381529	88.29212958	129.2425836	100.4576589	91.58719552	96.95885892	99.65306344	76.4973057	85.64913553
11332	65.57295858	72.23087789	64.05797468	59.99051968	115.3871517	103.6567817	53.27472933	122.8445028	73.36537399	61.66267047	95.3063695	125.5893814	80.39924601	122.9037183	83.16417924	77.16833182	164.4198348	92.71518165	62.68280054	111.8856653	101.5780718	58.09822745	83.47482685	177.5705075	89.7642261	104.7870757	144.6369284	58.28373173	98.90290479	127.4410203	65.48965158	94.98343803	95.46972968	85.53218401	93.62707047	103.9274213
54626	94.38952547	134.2285494	147.0234858	216.859669	245.89893	73.74240845	272.6611464	260.6904325	177.8958738	449.1691456	233.755064	336.0317275	243.3518091	622.6385224	461.5217002	425.4088611	360.8146229	668.6230694	35.56884496	53.76570044	54.04218982	74.99290029	120.503702	42.63361748	33.74901748	49.71481382	44.85575629	201.9305089	140.4290251	52.32366416	177.3269852	140.9162261	137.6617246	130.5845136	229.3354809	222.3318919
8718	27.59505539	62.23704475	56.02701438	23.17815533	44.82389352	32.90581056	27.65147753	58.65883063	52.68967769	26.10089571	58.46768177	47.846349	44.01291092	62.47375522	62.90913151	118.8654453	120.0057475	49.28290279	22.01186717	37.29522178	35.91747505	12.76216293	18.83415313	17.29195674	15.15499921	28.1698076	24.38355583	13.17372018	22.59702129	34.30803129	8.817363907	15.7563382	22.9160443	14.05363715	22.99612257	27.09391917
