EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
653635,26.33333333,20.66666667,16.66666667,23.33333333,37.33333333,29.66666667,35,20,16.33333333,22.66666667,20.33333333,29.33333333
100422834,0,0,0,0,0,0,0,0,0,0,0,0
645520,0,0,0,0,0,0,0,0,0,0,0,0
79501,0,0,0,0,0,0,0,0,0,0,0,0.333333333
729737,108.3333333,78,91.66666667,92.33333333,130.6666667,98.33333333,111,88,96.33333333,90.33333333,89.33333333,75
100507658,2.666666667,1,2,2.333333333,3.666666667,2.666666667,2,1.666666667,1.333333333,1,0,1
100132287,72.33333333,54,53.66666667,51.33333333,104.6666667,76,135.6666667,100.6666667,90.33333333,89,82.66666667,80.33333333
100288646,0,0,0,0,0,0,0,0,0,0,0,0
729759,0,0,0.333333333,0,0,0,0,0,0,0,0,0
100131754,1199,1197.666667,1524.666667,1376.333333,2112,1593,1769.333333,1212.666667,1358,1538,1636,1227.666667
81399,0,0,0,0,0,0,0,0,0,0,0,0
100287654,0,0,0,0.333333333,0,0,0,0.333333333,0,0.333333333,0.333333333,0
100133331,48.66666667,30.33333333,34.66666667,34,62,39,75.33333333,46.33333333,36.66666667,46.66666667,45.66666667,40
100288069,1.333333333,1,0,1.333333333,2,0.666666667,2.333333333,1.666666667,1.666666667,3,1.666666667,1.666666667
100287934,5.666666667,3.666666667,7.333333333,3,8.333333333,5.333333333,7,2.666666667,6.666666667,5.666666667,3,4.333333333
400728,2.333333333,3,2.333333333,2.666666667,3.666666667,1.666666667,2,1,0,0.666666667,1.333333333,0.666666667
79854,9,3.333333333,8,8,5,7,9.666666667,8,9,6.666666667,4.333333333,8.333333333
643837,149,133.6666667,168.6666667,189,248,154.3333333,155.3333333,137,123.6666667,132.3333333,145,120.6666667
100506327,13.66666667,9,8,9.666666667,35,7.666666667,7.666666667,15,10,10.66666667,8.333333333,5.666666667
284593,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0.333333333
284600,3,2.666666667,2.333333333,2,2.333333333,0.333333333,4.666666667,4,2,1,2,1.333333333
100130417,0,0,1.333333333,0.333333333,2,0.333333333,0,0.333333333,0,0,0,0
148398,10.66666667,9.666666667,24.66666667,34.33333333,27,39.33333333,34.33333333,34,18,38.33333333,34,44.66666667
26155,1258.666667,1337.666667,1149.333333,1163.666667,1453.666667,905.3333333,1149,1669.333333,1180.666667,1076,1066.333333,1050.333333
339451,134.6666667,114.3333333,141,117.6666667,164.3333333,183.3333333,245,183.6666667,159.6666667,176.3333333,134.3333333,174
84069,86.66666667,91.66666667,237,220.3333333,381.3333333,248.6666667,142.6666667,174.6666667,164,148.3333333,136.3333333,129.3333333
84808,4.666666667,2,5.333333333,3.333333333,2.666666667,1.666666667,6,2.666666667,4.666666667,4.333333333,4.333333333,3.333333333
57801,269.6666667,214,343.3333333,376.3333333,311.3333333,187,223,196,203.6666667,324.3333333,267,277.3333333
9636,3025,1555.666667,6415,2249.333333,1352,786.3333333,6965.333333,1414.333333,732,1084.666667,1052.666667,644
375790,10818.33333,7493,9023.666667,6798.666667,6196.666667,4160.333333,7256.333333,7847.666667,7684.333333,4673.333333,5325.666667,3327
401934,18,18.66666667,29,45.66666667,106.6666667,77.33333333,33.66666667,21.33333333,18.33333333,64.33333333,59,95.33333333
54991,137,114.6666667,154.3333333,104.6666667,125.6666667,127,151,148.3333333,99,112.3333333,109,103.3333333
406984,0,1.333333333,1,0.666666667,0.333333333,0.666666667,0.666666667,0.666666667,0.333333333,2.666666667,0.666666667,0.333333333
406983,7,3,2.333333333,3.333333333,6.666666667,1.333333333,6,3.666666667,2.666666667,6,4.333333333,2
554210,3.333333333,1.333333333,1,1.666666667,4.333333333,2.666666667,3,2.666666667,1,3.666666667,1,2
