EntrezID	iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03
653635	22	27	30	13	27	22	7	28	15	20	19	31	22	53	37	13	37	39
100422834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729737	79	146	100	33	116	85	35	152	88	38	132	107	36	182	174	47	131	117
100507658	4	3	1	1	1	1	2	2	2	0	4	3	3	3	5	3	1	4
100132287	29	112	76	18	80	64	20	90	51	21	73	60	25	168	121	33	98	97
100288646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729759	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
100131754	561	1508	1528	660	1630	1303	989	1972	1613	892	1707	1530	1916	2172	2248	1398	1205	2176
81399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100287654	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
100133331	38	55	53	14	46	31	17	62	25	19	47	36	20	112	54	24	45	48
100288069	1	2	1	2	0	1	0	0	0	4	0	0	3	2	1	0	1	1
100287934	3	9	5	1	5	5	4	6	12	2	5	2	3	14	8	2	5	9
400728	1	3	3	2	2	5	2	4	1	7	1	0	2	3	6	2	2	1
79854	10	11	6	3	5	2	7	8	9	5	8	11	2	6	7	4	13	4
643837	154	156	137	106	214	81	115	218	173	168	155	244	269	269	206	81	154	228
100506327	24	12	5	13	7	7	9	4	11	18	8	3	78	13	14	9	6	8
284593	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
284600	1	6	2	2	2	4	5	0	2	1	5	0	0	1	6	0	0	1
100130417	0	0	0	0	0	0	4	0	0	0	1	0	5	0	1	1	0	0
148398	2	12	18	6	19	4	13	45	16	31	55	17	12	8	61	63	24	31
26155	1262	1308	1206	937	1779	1297	918	1531	999	1109	1159	1223	1706	1447	1208	656	1025	1035
339451	79	187	138	63	161	119	54	253	116	67	141	145	111	249	133	162	237	151
84069	133	74	53	78	117	80	269	281	161	310	252	99	644	235	265	324	275	147
84808	6	7	1	1	3	2	6	6	4	1	9	0	1	5	2	3	2	0
57801	126	217	466	166	297	179	164	347	519	255	311	563	72	495	367	85	202	274
9636	1061	4955	3059	1196	879	2592	736	11004	7505	444	3748	2556	247	474	3335	107	1324	928
375790	8756	12866	10833	7995	7833	6651	6208	11238	9625	7762	6590	6044	5408	4220	8962	4595	4119	3767
401934	22	13	19	25	26	5	29	44	14	40	37	60	21	222	77	35	50	147
54991	83	188	140	70	139	135	70	262	131	68	150	96	72	167	138	114	157	110
406984	0	0	0	2	2	0	0	1	2	1	1	0	1	0	0	1	1	0
406983	0	11	10	4	4	1	1	3	3	3	2	5	11	7	2	2	1	1
554210	0	6	4	1	3	0	0	1	2	0	4	1	3	8	2	2	1	5
100506376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
254173	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	3	1
8784	5	10	12	11	11	4	2	6	7	3	4	6	1	7	1	1	1	3
7293	2	0	1	0	3	0	0	0	0	0	1	1	2	2	0	0	2	1
51150	1677	2655	2336	1345	2508	1685	1269	2856	2109	1907	2360	2279	1493	2124	2209	990	1378	1645
126792	123	214	173	125	225	230	64	219	93	164	160	116	293	251	200	89	119	154
388581	21	72	73	24	52	30	9	41	25	13	37	48	8	97	28	8	48	45
118424	456	728	683	340	639	625	289	589	493	401	542	424	325	690	507	201	427	438
6339	12	80	72	12	42	13	20	78	48	22	48	27	19	66	40	10	78	35
116983	456	1282	1232	475	894	574	793	1060	981	718	1023	658	365	811	1027	720	725	631
126789	125	216	176	114	227	185	100	235	155	109	195	225	113	292	161	72	178	147
54973	701	1156	803	427	1176	920	515	1301	727	737	993	895	966	1344	1049	491	841	922
80772	283	540	518	282	541	347	275	672	431	454	541	426	431	636	502	248	333	362
83756	6	2	3	2	3	5	2	14	4	5	5	6	8	1	2	5	7	3
1855	1457	1698	1528	1331	2652	878	1236	2573	1670	2046	2010	2600	1129	2849	2408	1809	1852	1883
54587	3	10	7	1	15	11	12	22	26	8	29	16	3	15	13	8	13	9
100506404	2	3	2	0	1	0	0	1	0	1	0	1	0	1	2	2	1	1
54998	600	1133	1091	478	1263	1270	556	1441	1046	726	1174	1161	463	1299	791	377	798	680
81669	1520	2626	2542	1205	1823	1287	1197	1576	1600	1344	1661	1548	2161	3978	2842	1798	1645	2926
148413	200	310	196	151	238	255	203	286	231	224	304	170	325	272	225	110	149	141
55052	388	521	461	269	588	788	279	798	461	346	600	403	507	599	463	241	474	425
441869	90	94	74	98	131	102	138	281	95	97	174	116	49	214	79	71	106	147
643965	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
100288271	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
64856	81	106	96	98	151	148	86	321	171	96	212	88	122	124	119	96	161	93
219293	29	27	29	19	34	26	38	45	35	41	54	44	32	41	37	22	47	29
83858	131	369	275	133	340	202	91	266	185	111	202	324	326	652	386	200	397	441
55210	400	596	404	292	654	517	228	612	383	271	430	444	541	708	457	283	553	439
339453	0	3	10	0	3	1	2	2	3	2	2	3	3	2	3	0	0	1
29101	1044	1920	1806	839	2278	1594	834	2286	1653	1235	1893	2231	1020	2654	1745	652	1288	1870
643988	54	145	134	56	116	136	40	164	61	25	82	42	32	32	37	30	45	22
142678	293	647	596	302	714	256	302	492	452	403	545	702	450	1078	783	293	425	666
8510	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
984	256	278	229	173	323	260	224	375	200	245	273	283	266	515	275	173	253	371
728661	741	585	570	552	494	369	535	552	357	595	417	272	340	505	386	428	311	461
8511	7	16	25	4	13	14	6	33	26	11	23	14	2	18	9	4	16	6
728642	1371	1402	1268	941	1482	1211	1190	1638	1110	1331	1276	1404	1501	2678	1632	1220	1451	1895
100506482	456	856	840	330	577	505	342	716	495	384	643	321	236	639	432	227	333	496
9906	143	58	80	133	56	36	138	57	55	110	55	46	55	58	60	104	49	49
65220	929	1130	1051	708	939	817	697	1127	886	835	866	780	933	1448	1041	548	800	1004
2782	9176	7931	7954	6557	9676	4960	6287	10358	7640	9563	7476	8866	5548	8140	7209	4981	6050	5933
163688	6	41	24	7	10	1	2	4	7	6	7	4	6	7	8	4	8	17
339456	19	38	17	10	39	4	14	11	38	16	22	27	4	23	24	3	8	20
85452	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0
