EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
653635,1.578119391,1.333386345,0.89439136,1.339488649,2.098653592,2.233222361,2.300406537,1.182536052,1.046774703,1.58921225,1.414127124,2.274201997
100422834,0,0,0,0,0,0,0,0,0,0,0,0
645520,0,0,0,0,0,0,0,0,0,0,0,0
79501,0,0,0,0,0,0,0,0,0,0,0,0.026072701
729737,6.482350383,4.930917946,4.920473992,5.3281026,7.322103543,7.449706466,7.383888795,5.227596822,6.308614458,6.353848642,6.263511392,5.70555416
100507658,0.154952949,0.066770853,0.116456074,0.135386848,0.207490339,0.200273512,0.131686588,0.098644905,0.085347078,0.070120464,0,0.079990948
100132287,4.37285141,3.40522804,2.874791411,2.962362327,5.854094946,5.731423774,8.980063424,5.975272059,6.054616661,6.295554456,5.675871188,6.181255093
100288646,0,0,0,0,0,0,0,0,0,0,0,0
729759,0,0,0.015481349,0,0,0,0,0,0,0,0,0
100131754,72.67224184,76.76246484,85.41726304,79.17525526,119.4519698,120.1280038,117.3499466,71.52782871,89.71734747,107.5809499,110.69665,94.18356068
81399,0,0,0,0,0,0,0,0,0,0,0,0
100287654,0,0,0,0.018550743,0,0,0,0.020257401,0,0.026109613,0.018558702,0
100133331,2.917589601,1.915664544,1.848224102,1.957829123,3.465899042,2.952721873,5.005721199,2.741978382,2.441916144,3.316522099,3.130426979,3.02881259
100288069,0.079481928,0.073686507,0,0.074202973,0.113850136,0.049522969,0.159217763,0.101287007,0.10523089,0.211396719,0.123953027,0.112070472
100287934,0.340446367,0.232860122,0.425561621,0.172339468,0.466449047,0.394002455,0.465706234,0.159153043,0.454166053,0.407098287,0.209661373,0.324197771
400728,0.14158697,0.203110015,0.127207925,0.149132381,0.206891208,0.130715431,0.136017309,0.059509915,0,0.047942484,0.096376559,0.052145403
79854,0.530974795,0.213788883,0.463499302,0.460657638,0.28093575,0.546532222,0.654670631,0.473818804,0.596892936,0.45052297,0.324073462,0.650705275
643837,8.849818878,8.477925587,9.463032315,10.84444249,14.04742456,11.53619657,10.39608423,8.135540243,8.08625617,9.299388661,9.883548461,9.11663153
100506327,0.788952431,0.61888718,0.487067284,0.54640894,2.0163314,0.588784081,0.519723478,0.897668856,0.614536933,0.754804301,0.545972565,0.421058444
284593,0,0,0.042746688,0,0,0,0,0,0.047169595,0,0,0.026959124
284600,0.180351647,0.179920578,0.153100901,0.114936635,0.131254034,0.022943623,0.329287377,0.240564238,0.140827296,0.066188831,0.151529494,0.098746436
100130417,0,0,0.090143366,0.019277178,0.115837142,0.027306558,0,0.019376701,0,0,0,0
148398,0.655804196,0.592573693,1.313000185,1.965560612,1.527394711,3.069469757,2.294077318,2.005340057,1.107272193,2.581907708,2.269397384,3.411897607
26155,74.86929973,86.34877171,64.58048351,66.67307699,82.46841541,68.90358161,77.39967414,99.32466149,78.1031788,75.15410447,73.98337975,79.3845232
339451,8.10119715,7.301794483,7.478174922,6.77775847,9.240113739,14.18745447,16.36599966,10.90687469,10.37105289,12.33681926,9.317449011,13.30341199
84069,5.054833504,5.969487728,13.66634672,12.53175779,21.80827315,19.52935746,9.509660311,10.39885124,10.93894723,10.3648316,9.446916352,9.785092952
84808,0.271759532,0.126626051,0.308946529,0.192045348,0.149082586,0.135078365,0.393889412,0.159035521,0.311521451,0.298728202,0.294564395,0.255182644
57801,16.48328712,13.78703159,19.55733555,21.66250534,17.41358149,13.97663808,14.65011286,11.61172072,13.78219836,22.7488357,18.69681817,21.06790474
9636,182.9574743,106.41887,338.6255471,130.1403654,76.24190051,59.40453826,452.2733257,84.11367858,47.65586138,73.41027451,66.72500697,47.4329887
375790,647.0467417,499.6964372,508.4113027,388.4384902,351.1963954,321.3825876,484.334271,467.9606279,488.8030616,331.7553901,366.8978025,242.8046605
401934,1.066985605,1.223815464,1.617670607,2.62084803,5.943243765,5.657409441,2.251137369,1.262743,1.196366948,4.334134947,3.980222723,7.279903501
54991,8.237333193,7.446241838,8.281243228,6.01792761,7.067484096,9.809703462,10.05851191,8.811287405,6.608511222,7.987136077,7.52409549,7.876605313
406984,0,0.087162832,0.055903042,0.037827922,0.019406045,0.053885904,0.044260598,0.039252513,0.019202323,0.183216451,0.04613517,0.022414094
406983,0.430211838,0.197515101,0.129612428,0.191336812,0.379968124,0.104136085,0.404791362,0.216402445,0.154300073,0.420722783,0.315055697,0.143574624
554210,0.204001168,0.080247178,0.055903042,0.096534758,0.243132303,0.195910578,0.199122591,0.157010052,0.057606969,0.254027133,0.064693872,0.15632329
100506376,0,0,0,0,0,0,0,0,0,0,0,0
254173,0.041026407,0.043581416,0.015481349,0,0.056625503,0.102681661,0.180252857,0.040514803,0,0.140586037,0.04613517,0.10606365
8784,0.544960089,0.572153323,0.279435704,0.249317213,0.167100755,0.122716774,1.31195827,1.297680511,1.009588155,1.477014584,1.558812472,1.96201787
7293,0.058094136,0.054998642,0,0.038703223,0.075637175,0.076102315,0.133826899,0.020257401,0.027740109,0,0.064693872,0
51150,133.2385219,119.0123456,115.437391,125.1423648,109.6259409,101.4020912,80.10462159,88.09288307,91.3004368,91.26336869,94.49174263,94.89053658
126792,10.19188022,12.6145355,6.712318,8.380091643,14.0689024,9.126543794,25.45582517,38.82008837,16.20304648,24.06867386,27.88877866,21.22557184
388581,3.363642671,2.254957745,1.342829045,1.886865422,2.46785857,2.52672412,1.22231682,1.06078562,0.615186605,1.290933208,0.914530748,2.290496351
118424,37.35821951,34.79261068,25.59532013,26.12372178,28.5467248,26.88730585,39.86589131,42.38601968,31.6385584,34.0350548,36.18223618,36.77035226
6339,3.33557645,1.374426092,2.628382685,1.857924126,2.336219248,3.149281384,4.082895024,2.289912879,2.052645964,2.837242606,2.860580837,3.200458596
