study	sample	experiment	run	ftp
SRP069177	SRS1272350	SRX1556933	SRR3138586	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556933/SRR3138586/SRR3138586.sra
SRP069177	SRS1272363	SRX1556956	SRR3138632	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556956/SRR3138632/SRR3138632.sra
SRP069177	SRS1272333	SRX1556950	SRR3138620	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556950/SRR3138620/SRR3138620.sra
SRP069177	SRS1272339	SRX1556944	SRR3138609	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556944/SRR3138609/SRR3138609.sra
SRP069177	SRS1272354	SRX1556929	SRR3138578	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556929/SRR3138578/SRR3138578.sra
SRP069177	SRS1272355	SRX1556928	SRR3138577	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556928/SRR3138577/SRR3138577.sra
SRP069177	SRS1272352	SRX1556931	SRR3138583	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556931/SRR3138583/SRR3138583.sra
SRP069177	SRS1272331	SRX1556952	SRR3138625	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556952/SRR3138625/SRR3138625.sra
SRP069177	SRS1272329	SRX1556954	SRR3138629	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556954/SRR3138629/SRR3138629.sra
SRP069177	SRS1272352	SRX1556931	SRR3138582	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556931/SRR3138582/SRR3138582.sra
SRP069177	SRS1272331	SRX1556952	SRR3138624	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556952/SRR3138624/SRR3138624.sra
SRP069177	SRS1272332	SRX1556951	SRR3138622	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556951/SRR3138622/SRR3138622.sra
SRP069177	SRS1272332	SRX1556951	SRR3138623	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556951/SRR3138623/SRR3138623.sra
SRP069177	SRS1272364	SRX1556955	SRR3138630	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556955/SRR3138630/SRR3138630.sra
SRP069177	SRS1272349	SRX1556934	SRR3138588	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556934/SRR3138588/SRR3138588.sra
SRP069177	SRS1272356	SRX1556927	SRR3138574	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556927/SRR3138574/SRR3138574.sra
SRP069177	SRS1272330	SRX1556953	SRR3138626	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556953/SRR3138626/SRR3138626.sra
SRP069177	SRS1272353	SRX1556930	SRR3138580	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556930/SRR3138580/SRR3138580.sra
SRP069177	SRS1272334	SRX1556949	SRR3138619	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556949/SRR3138619/SRR3138619.sra
SRP069177	SRS1272362	SRX1556957	SRR3138635	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX155/SRX1556957/SRR3138635/SRR3138635.sra
