threshold	retainedGenes80	retainedGenes90	retainedGenes100
0	25702	25702	25702
0.05	16073	15402	14781
0.1	15267	14660	14136
0.15	14840	14270	13775
0.2	14517	13975	13531
0.25	14213	13696	13270
0.3	14020	13511	13112
0.35	13809	13349	12908
0.4	13677	13250	12818
0.45	13549	13085	12662
0.5	13421	12952	12542
0.55	13335	12879	12468
0.6	13232	12767	12345
0.65	13127	12669	12247
0.7	13004	12544	12131
0.75	12939	12475	12069
0.8	12850	12382	11984
0.85	12730	12282	11884
0.9	12688	12209	11834
0.95	12603	12137	11774
1	12537	12067	11707
1.05	12477	12012	11650
1.1	12408	11970	11623
1.15	12353	11900	11560
1.2	12298	11852	11519
1.25	12231	11785	11464
1.3	12177	11736	11418
1.35	12112	11686	11355
1.4	12051	11643	11300
1.45	12002	11612	11275
1.5	11957	11576	11226
1.55	11929	11540	11185
1.6	11889	11493	11139
1.65	11851	11444	11098
1.7	11805	11409	11062
1.75	11771	11357	11013
1.8	11738	11334	10990
1.85	11703	11299	10953
1.9	11646	11255	10910
1.95	11613	11224	10874
2	11580	11192	10833
