EntrezID	iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03
100131754	31.14854341	90.24371488	96.62446724	49.99209973	89.64778704	90.64750774	66.86384176	91.58765954	97.80028781	49.64178886	98.71843005	89.16554685	111.5459488	119.9761241	126.8338364	114.5237026	96.08433605	149.7759727
9636	58.91016854	296.5236122	193.4386422	90.59174437	48.34380663	180.3210591	49.75913805	511.0702868	455.0472164	24.70958997	216.7525928	148.9589136	14.37987963	26.18263481	188.1631871	8.765404994	105.5731626	63.87504719
375790	486.1615794	769.9440555	685.03459	605.5861172	430.8043656	462.6988288	419.7075123	521.9381937	583.5882022	431.9726066	381.1098149	352.2330491	314.8436802	233.1027825	505.6427234	376.4208967	328.4409794	259.2858866
51150	93.11249072	158.883994	147.7190808	101.8778396	137.936595	117.2226021	85.79394863	132.6441966	127.8740279	106.128802	136.4824223	132.8158701	86.91967725	117.324718	124.6334274	81.10047612	109.8790167	113.2267809
1855	80.89737565	101.6139442	96.62446724	100.8174011	145.8563995	61.08097605	83.56290032	119.5005314	101.2563426	113.8644619	116.2413851	151.5231515	65.7282757	157.371997	135.8611558	148.1926882	147.6748468	129.6085279
54998	33.31395017	67.80247279	68.99037549	36.2063995	69.4632853	88.35175351	37.58978364	66.92587089	63.42163735	40.40351873	67.89422196	67.66091496	26.95499703	71.75367642	44.62880989	30.88371666	63.6309545	46.80499148
81669	84.39534042	157.148538	160.7456778	91.27345482	100.262525	89.53441478	80.92620686	73.19581716	97.01206478	74.79659667	96.05817945	90.21455329	125.8093922	219.735277	160.3477594	147.2915718	131.1690729	201.3991251
29101	57.96627329	114.8991595	114.2040496	63.55056315	125.2869073	110.8918859	56.38467546	106.1710901	100.2255894	68.73050363	109.4750955	130.0185196	59.38249886	146.6006599	98.45420133	53.4116267	102.7025932	128.7137266
728642	76.12237613	83.90032378	80.18313119	71.27661492	81.50798798	84.24722323	80.45295419	76.07534803	67.30211994	74.07311768	73.79303852	81.82250182	87.38542234	147.9263629	92.07865706	99.94200087	115.6998935	130.4344983
2782	509.4813445	474.6173095	502.9784113	496.6639363	532.1668635	345.0588169	425.0485067	481.0674328	463.2326093	532.2022723	432.3485548	516.6939467	322.9942193	449.6342772	406.7371561	408.0418904	482.4151312	408.3735506
