EntrezID	EMP_basal_01	EMP_basal_02	EMP_basal_03	EMP_4day_01	EMP_4day_02	EMP_4day_03	EMP_8day_01	EMP_8day_02	EMP_8day_03	EMP_11day_01	EMP_11day_02	EMP_11day_03	EMP_14day_01	EMP_14day_02	EMP_14day_03	EMP_17day_01	EMP_17day_02	EMP_17day_03
653635	11	43	51	13	30	17	15	22	12	18	27	23	10	27	24	14	39	35
100422834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
729737	77	139	117	65	89	110	72	130	87	77	98	96	66	107	95	66	68	91
100507658	0	1	5	2	3	0	0	3	1	1	1	1	0	0	0	0	1	2
100132287	71	165	171	83	118	101	62	111	98	62	101	104	55	114	79	50	100	91
100288646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100131754	1069	2221	2018	359	1838	1441	881	1871	1322	1243	1871	1500	956	2473	1479	834	1485	1364
81399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100287654	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
100133331	48	91	87	28	63	48	23	49	38	22	59	59	25	65	47	37	43	40
100288069	3	2	2	5	0	0	3	1	1	6	0	3	2	1	2	5	0	0
100287934	5	9	7	3	2	3	8	4	8	5	4	8	1	4	4	5	4	4
400728	2	1	3	1	1	1	0	0	0	0	1	1	2	1	1	0	2	0
79854	10	8	11	6	11	7	7	11	9	3	14	3	3	3	7	2	16	7
643837	126	173	167	89	135	187	139	123	109	108	150	139	111	204	120	117	125	120
100506327	9	8	6	19	8	18	19	7	4	14	6	12	7	14	4	8	1	8
284593	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
284600	10	2	2	8	2	2	0	3	3	2	1	0	2	1	3	2	0	2
100130417	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
148398	27	40	36	30	67	5	9	37	8	45	57	13	34	51	17	34	52	48
26155	1116	1187	1144	1302	1423	2283	1189	1203	1150	1050	1169	1009	1015	1302	882	1017	1062	1072
339451	196	296	243	151	205	195	128	217	134	162	196	171	85	176	142	132	191	199
84069	105	173	150	175	166	183	176	146	170	171	136	138	107	174	128	122	136	130
84808	3	10	5	4	3	1	0	9	5	6	4	3	4	6	3	2	6	2
57801	69	278	322	101	228	259	115	259	237	186	450	337	107	347	347	256	224	352
9636	878	11014	9004	1268	1409	1566	366	1197	633	189	2527	538	176	2210	772	935	454	543
375790	5092	7712	8965	9276	7043	7224	8955	8933	5165	3043	5223	5754	4112	7052	4813	5353	2194	2434
401934	18	21	62	24	37	3	16	23	16	101	72	20	40	89	48	75	101	110
54991	106	179	168	102	145	198	77	116	104	89	108	140	72	146	109	81	127	102
406984	0	0	2	0	1	1	0	1	0	0	6	2	0	1	1	1	0	0
406983	5	4	9	2	6	3	3	5	0	6	6	6	3	4	6	4	0	2
554210	2	4	3	0	4	4	0	3	0	3	5	3	0	2	1	1	1	4
100506376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
254173	3	3	2	2	0	0	0	0	0	3	1	2	0	1	1	0	2	2
8784	12	18	29	14	39	13	11	27	10	19	34	12	15	31	22	19	31	27
7293	2	3	1	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0
51150	979	1154	1448	1368	1557	1520	1372	1721	1139	1147	1550	1225	1078	1824	1217	1306	1187	1286
126792	360	383	391	477	678	806	196	293	244	347	378	311	253	557	406	178	294	355
388581	13	21	21	13	35	6	3	16	9	12	29	15	7	19	14	11	36	41
118424	434	688	671	469	775	899	395	595	452	480	520	461	338	712	525	353	534	554
6339	45	79	60	40	62	14	19	53	24	42	55	27	36	43	42	39	52	36
116983	345	767	663	517	663	588	456	830	498	671	774	592	460	754	624	531	617	717
126789	154	220	226	137	236	307	108	192	176	170	270	197	135	271	180	174	234	248
54973	636	1078	995	733	1145	1147	743	1075	783	649	989	864	672	1322	944	661	885	921
80772	302	467	504	411	638	644	359	379	340	527	547	363	357	656	436	359	554	524
83756	5	1	3	8	5	5	6	8	8	12	7	5	19	13	13	15	7	11
1855	1349	1907	2113	1776	1944	1661	1583	1766	1162	2035	2256	1511	1668	2330	1655	2457	1933	1966
54587	8	15	18	3	14	2	4	13	7	13	20	9	8	23	15	6	13	9
100506404	0	0	0	2	0	2	0	0	0	1	0	1	1	1	0	0	3	2
54998	757	1260	1238	736	1130	1953	752	1192	977	562	1022	1057	558	1298	921	743	782	899
81669	1829	2361	2124	1311	2094	1213	967	1916	836	1838	1910	1238	944	1976	1664	1042	2231	2130
148413	328	412	345	382	399	499	299	385	241	247	328	270	260	410	295	210	233	277
55052	536	785	633	514	768	1378	369	570	659	394	489	490	378	652	467	340	452	473
441869	138	401	382	256	410	197	184	427	195	437	475	248	307	411	255	404	639	634
643965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
100288271	0	3	0	1	1	1	0	1	3	1	0	2	0	0	1	1	2	1
64856	150	252	267	203	294	343	159	321	196	214	279	216	175	340	230	225	216	247
219293	14	35	40	15	23	14	19	23	20	21	26	16	15	22	15	23	21	33
83858	205	390	336	181	271	467	129	223	216	142	243	228	118	252	211	128	272	275
55210	424	615	510	429	659	1254	357	525	667	321	422	500	300	555	346	341	358	416
339453	3	4	10	2	3	8	3	7	0	2	6	3	1	3	3	3	4	3
29101	977	2007	1719	1204	1972	2143	1117	1660	1470	1150	1892	1544	1023	2108	1430	1319	1718	1769
643988	195	292	255	171	367	475	115	216	287	150	227	253	132	235	150	129	170	177
142678	291	393	577	383	622	234	269	479	233	629	728	296	450	727	511	531	641	769
8510	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	2	0
984	218	297	325	296	283	416	279	349	235	243	321	270	196	319	212	246	350	321
728661	634	443	451	1056	684	316	695	506	246	1170	578	334	816	607	503	710	567	562
8511	12	16	23	6	22	30	17	22	34	22	37	30	13	22	27	28	12	21
728642	987	1138	1334	1157	1393	1511	1324	1481	1181	1219	1196	1092	948	1509	1004	1182	1439	1305
100506482	724	860	751	737	1089	503	444	739	315	818	872	483	544	958	613	491	807	753
9906	101	31	61	226	89	54	174	131	44	268	92	67	191	106	70	220	88	76
65220	840	1062	1023	1046	1243	1205	767	923	725	1027	931	710	742	1198	742	782	949	917
2782	6233	6658	6615	7585	7800	6413	7607	7015	4910	6671	7464	5353	6479	8555	5832	7587	6176	6485
163688	7	7	8	3	16	0	0	1	1	8	10	1	3	6	3	0	7	14
339456	32	34	46	13	40	26	16	25	24	37	52	31	31	44	34	30	35	47
85452	0	2	2	1	3	1	1	2	0	3	2	0	2	2	0	3	1	2
2563	1	0	0	0	0	0	1	0	0	1	0	2	0	0	1	3	1	1
5590	430	673	657	422	649	402	502	642	430	581	763	553	537	806	565	691	609	700
100506504	11	8	14	20	22	7	16	19	8	16	14	11	11	16	6	10	17	13
199990	121	173	212	157	291	238	118	184	207	151	209	181	118	241	174	131	154	138
100128003	94	184	165	103	135	192	78	113	93	62	91	104	47	141	87	58	84	75
6497	906	948	922	1484	1678	918	1290	1091	682	1863	1358	778	1347	1477	980	1470	1161	1228
79906	30	26	35	48	21	53	50	40	15	25	36	26	38	51	26	44	7	11
100129534	21	26	25	16	8	17	16	33	13	5	16	18	12	17	8	17	3	4
11079	1280	1374	1609	1452	1650	1715	1471	1690	1057	1151	1466	1196	1041	1843	1308	1286	1110	1182
5192	353	346	340	342	444	458	265	336	301	288	356	283	224	415	312	305	228	245
9651	747	1042	1138	1421	1127	903	1745	1421	974	1086	972	1271	963	1302	966	1022	669	698
55229	244	272	317	310	274	325	439	367	319	327	299	278	282	281	176	386	287	279
388585	0	2	0	0	1	2	1	0	0	0	0	2	1	1	0	0	1	1
