Sample,Condition,Age,Replicate
iPrEC_basal_01,Immortal,00 day,R1
iPrEC_basal_02,Immortal,00 day,R2
iPrEC_basal_03,Immortal,00 day,R3
iPrEC_4day_01,Immortal,04 day,R1
iPrEC_4day_02,Immortal,04 day,R2
iPrEC_4day_03,Immortal,04 day,R3
iPrEC_8day_01,Immortal,08 day,R1
iPrEC_8day_02,Immortal,08 day,R2
iPrEC_8day_03,Immortal,08 day,R3
iPrEC_11day_01,Immortal,11 day,R1
iPrEC_11day_02,Immortal,11 day,R2
iPrEC_11day_03,Immortal,11 day,R3
iPrEC_14Tday_01,Immortal,14 day,R1
iPrEC_14Tday_02,Immortal,14 day,R2
iPrEC_14Tday_03,Immortal,14 day,R3
iPrEC_17Tday_01,Immortal,17 day,R1
iPrEC_17Tday_02,Immortal,17 day,R2
iPrEC_17Tday_03,Immortal,17 day,R3
EMP_basal_01,Tumorigenic,00 day,R1
EMP_basal_02,Tumorigenic,00 day,R2
EMP_basal_03,Tumorigenic,00 day,R3
EMP_4day_01,Tumorigenic,04 day,R1
EMP_4day_02,Tumorigenic,04 day,R2
EMP_4day_03,Tumorigenic,04 day,R3
EMP_8day_01,Tumorigenic,08 day,R1
EMP_8day_02,Tumorigenic,08 day,R2
EMP_8day_03,Tumorigenic,08 day,R3
EMP_11day_01,Tumorigenic,11 day,R1
EMP_11day_02,Tumorigenic,11 day,R2
EMP_11day_03,Tumorigenic,11 day,R3
EMP_14day_01,Tumorigenic,14 day,R1
EMP_14day_02,Tumorigenic,14 day,R2
EMP_14day_03,Tumorigenic,14 day,R3
EMP_17day_01,Tumorigenic,17 day,R1
EMP_17day_02,Tumorigenic,17 day,R2
EMP_17day_03,Tumorigenic,17 day,R3
